Origin_index,Molecule,Score,Time
379,c1c(C)c(F)ccc1-c1cccc(CNC(=O)OC2CNC(=O)C2)c1,-7.8,151.3156168460846
177,O=S1(=O)c2c(ccc3c2cc(F)n3C)C(=O)N1CC(Oc2ccccc2)O,-7.8,152.52734684944153
214,c1c(-c2c(C(O)=O)n(Cc3ccc(F)cc3)cc2)ccc2cnc(Cl)cc12,-7.8,152.32956743240356
1048,c1c2oc(-c3c(F)cccc3)c3cccc(c23)c1C(=O)OCc1ccccc1,-7.8,131.2063853740692
310,Fc1c(Oc2ccc(CNC)s2)c2c(c1)c(C)c(=O)n2Cc1cccc(F)c1CC,-7.8,150.2624065876007
9,c1cc(F)c(NC(=O)C23CCC(=O)N2c2ccccc2NC3=O)cc1Cl,-7.8,155.7312617301941
356,O=C(NC12CC(C1)c1ccccc1S(=O)(=O)N2)c1cc(C(O)Cc1cc(F)C(F)cc1CC)C1,-7.8,266.41627526283264
494,Fc1(C(Nc2c(C)cccc2)=O)N(Cc2c(C)c(=O)n(Cc3ccccc3)cc2)nccc1,-7.7,195.4811978340149
910,c1cc2c(c(C(=O)NC)c1)cc(N(S(=O)(=O)C)Cc1sc(N(CC2=O)C)=O)ccc1,-7.7,188.6829884052277
160,C1c2c(C(=O)NS(=O)(=O)c3cc(CNC(C)(C)C)ccc3N(S(=O)(=O)C(CC)c2)C)cc(C)c1,-7.7,162.51424264907837
1021,CS(NC(=O)C1CCC2CCCC(C1)C2=O)C(=O)NC(Cc1ccccc1)SO,-7.7,166.1630756855011
191,CC(C)CN(CCO)C(=O)Nc1cc2oc(-c3ccn(C)c3C(N)=O)nc2cc2cc21,-7.6,215.31677079200745
713,c1cc(F)c(-c2c(C(=O)O)c3c(n2CS(=O)(=O)c3ccccc3)c1)c3,-7.6,154.43399024009705
662,c1ccc2c(c1)N=C(C(O)=O)N2C3=NS(=O)(=O)c2ccccc23,-7.6,127.52140760421752
90,c1cccc2nc(C(O)=O)cc(CC(O)=O)c2cc1-c1cccc(F)c1,-7.6,183.9184684753418
234,c1c2oc(-c3ccc[nH]c3=O)c(-n3c(=O)c4cscc4[nH]c3=O)c2ccc1,-7.6,167.7593653202057
848,O=S(=O)(C)c1cc(-c2c(N)cc(-c3ccc[nH]c3=O)cc2)ccc1O,-7.6,179.2880380153656
943,C1C2CCCCC2CN(c2c3cc4cc(C5=NC=NC5)ccc4nc3ncc2)S1=O,-7.6,144.59114027023315
130,c1cc2c(cc1NS(c1ccc(N)cc1)c1c(C1CC1)cnc(Cl)c1C)NCO2,-7.6,163.48103260993958
944,C(C1CC2CCCCC2C(=O)O)N1C(O)CN1CC2CC3CC(C2)CC1C3=O,-7.6,160.30365252494812
343,c1(CNc2c(C(O)=O)c(-c3cncc(N)c3)n3c(=O)cccc13)cncc2Cl,-7.6,203.89000487327576
960,O=S1(=O)N=C(C2=CS(=O)(=O)c3cc(Cl)ccc3N2)c2ccccc2C1,-7.6,247.7558114528656
128,c1cc(Oc2c(CC(=O)O)cccc2)cc2c(c1)c(Cl)c(C(=O)O)n2,-7.6,181.80501222610476
392,FC(F)(F)Oc1ccc2c(OC)cc(-c3ccc4c(c3)NC(=O)C4)c(N)cc2cc1Cl,-7.6,180.0838325023651
151,FC(F)(F)c1c2cc3c(n(CC(NC)=O)c2c1)ncc(Cc1ccccc1)C3=O,-7.6,186.0930142402649
1008,c1cc(C2=NS(c3cc4c(cc3)C(=O)NCC4)=NCN2)sc1C(=O)O,-7.6,163.97175693511963
281,N(C(c1cc(-c2ccccc2)cc(N)c1C(Cc1ccc(C(NC)=O)o1)NC)O)N(CC),-7.6,219.27088236808777
596,c12c(N)c(Cl)c2ncccc2c1CN(c1ccc3c(c1)CSNO3)cc2,-7.5,114.01936054229736
452,c1cccc(-c2cc3c(c(NC4CC4)n2)C(C)=CS(=O)(=O)N3)c1Br,-7.5,142.8397252559662
482,c1(-c2cc3ccc(Cl)cc3n(Cc3ccccc3)c2=O)c(C(=O)O)C(O)s1,-7.5,207.63151049613955
223,c1ccc2c(c1)CN(c1cccc(-c3c(F)cccc3)c1Cl)C(=O)C2Cl,-7.5,138.64285850524902
184,c1(N2CCC3(C(=O)NCC3)CC2)c(Cl)c2oc(-c4ccc(F)cc4)cc2(O)c1Cl,-7.5,177.01649069786072
646,c1cc2c(cc1C(NC(C)=O)=O)S(=O)(=O)N(CC(=O)O)C2=C1CC(Cl)cc1,-7.5,148.0296995639801
498,CC1CCC(CC1)NC(=O)c1c2c(cccc2F)c(-c2ccc(F)cc2)S1,-7.5,154.01445531845093
321,c1cc(S(=O)(NC(=O)OC2CCOCC2)C(O)CC(C)C)c2ccccc2Cc1,-7.5,173.15527153015137
72,n1cccc2oc(CC(=O)NC)c(C3CCCN(C4CC4)S3(=O)=O)c(Cl)c2c1,-7.5,152.65417075157166
578,CN1C(=O)C(Cc2ccc(N4CCOC4=O)cc2)c2ccc(Cl)cc21,-7.5,136.66483902931213
476,CN1c2c3c(cc(-c4c(=O)n(CCO)c(c4)cc2=O)c(NCCO)C3)CC1O,-7.5,171.3859453201294
633,Fc1ccc(-c2cc3c(c(-n4cc(C)c(C)n4)c2)cc3)cc1Cl,-7.5,113.01940441131592
881,c1cc(C2=NS(=O)(=O)c3cc(C(=O)NCCO)ccc3N2)ccc1O,-7.5,204.15167927742004
798,N(C(C(F)(F)F)OCCC(Cc1ccccc1)=O)Cc1ccc(=O)[NH]c1,-7.5,190.15141320228577
761,C1C2CCOC2c2c(N4CCC5(CC4)CCNC5=O)ccc(Cl)c21,-7.5,181.96964287757876
990,FC(F)(F)c1cc2c(cc1)c(C(NC(NC(=O)C(COC)=O)=O)C(N)=N)c2,-7.5,242.2824535369873
830,c1c2oc(-c3c(F)cccc3)c3c(c2c2cc(C(=O)NCCO)ccc32)c(C)c1,-7.5,161.82629919052124
764,N1C(=O)c2ccc(-n3c(=O)sc4sc(N)cc4c3=O)cc21,-7.5,114.90945887565611
268,c1cc(C2=Nc3ncc(C)cc3C(O)C2)ccc1Oc1ccc(C(=O)O)s1,-7.4,166.62949180603027
231,O=S1(=O)c2cc(O)ccc2S(=O)(=O)N1c1c3cc(Cl)ccc3n(C)c1,-7.4,153.90463614463806
389,C1C(C)CC(c2cc3c(cc2)NCCO3)N(S(=O)(=O)c2c(cccc2)C)C1,-7.4,232.44160509109497
1056,c1(F)c3c(cc(C(F)(F)F)cc3)ncc1CC(=O)N1CCNCC1=O,-7.4,140.3535406589508
535,c1ccc(-c2c3cc(Cl)ccc3c3c(=O)[nH]cc23)cc1CCC(=O)O,-7.4,161.40787553787231
618,c1ccccc(CC(Nc2cccc(C(=O)NS(=O)(=O)NC)n2)C(C)C)cc1,-7.4,176.3262176513672
801,c1ccc2oc(NC(c3ccccc3)NC(O)=O)c(C(O)=O)cc2cc1Br,-7.4,231.54306149482727
203,c12ccc(N)c(S(=O)(=O)O)c2c(-c3c(F)cccc3)cc(Cl)cc3N1ccc3,-7.4,218.36765384674072
637,N1ccc(CCC(=O)O)c2c(c1)c(C)cc(Cl)c2-c1ccccc1,-7.4,144.26153206825256
639,c1(F)c(S(=O)(=O)Nc2c(=O)[nH]c3cccc(F)c3c2C(=O)O)cccc1,-7.4,156.27496933937073
236,O1C2CCC(C1)N(c1cc(-c3cccc(F)c3)ns1)C(=O)C2=O,-7.4,174.34284448623657
0,Nc1[CH]ncc1-c1ccc(C2=NS(=O)(=O)c3c(O)c(Cl)ccc3N2)s1,-7.4,114.64916467666626
670,c1c(-c2ccc3c(c2)NCC(C(C)(C)C)C3)c(C(=O)O)nC2cc(Cl)ncc2c1,-7.4,158.3848762512207
698,c1cc(C)ccc1CN1c2ccccc2CCC(C(=O)O)C1CCC(=O)O,-7.4,214.39975762367249
734,OC(Cc1ccc(F)cc1)CN1CCN(c2ccc(F)cc2)C(=O)C1=O,-7.4,188.6240210533142
900,C(N2C(=O)CC3(CCNC3=O)c3ccccc23)Cc1c(=O)[NH]ccc1,-7.3,145.89781212806702
926,Cc1c2c(c(cccc2CNC(=O)C(Cc2ccc(O)cc2)NC(=O)C3C)s3)S1,-7.3,193.8520495891571
333,C12CC(CC(O)=C(NS(=O)(=O)N1)N(Cc1ccccc1)CC(=O)NC2=O)=O,-7.3,126.87973022460938
495,c1(-n2c3c(=O)[nH]ccc31)c1cc(C2CC2)cccc1N2c1cccc(Cl)c1,-7.3,145.67619109153748
148,O=S1(=O)c2ccccc2CN(S(=O)(=O)c2ccc(F)cc2)C(=O)Nc1CNF,-7.3,178.5044550895691
522,C(=CN(Cc1ccccc1)c1ccc2c(c1)c(C1=O)c(Cl)cc2)CC1,-7.3,124.7956883907318
1009,c1(CN2C(=O)OCC2)c2cc(C(=O)Nc3c(F)cccc3)ccc2c1C(=O)N,-7.3,190.0069441795349
1040,Fc1cc(-c2ncc(C(=O)O)s2)ccc1-c1ccccc1Cl,-7.3,141.05124711990356
561,c1cc2oc(-c3sc(C)c(C(F)(F)F)n3)cc2c(=O)n1CC1CCCC1,-7.3,183.47603726387024
712,N1(c2ccccc2O)CC2(CCC(=O)N2)CC1C1CC2CCC1C2=O,-7.3,208.37521290779117
692,Cc1cc(ccc1F)Nc1c(F)cccc1C(=O)OCc1ccc(cc1)O,-7.3,158.0745837688446
758,O=C(NC1c2ccccc2CC1Cc1c(F)cccc1)Nc1ccccc1,-7.3,199.1072859764099
174,C(c1cc(Cl)cc2ccc(NS(=O)(C)=O)cc12)c1ccccc1,-7.3,160.30975008010864
636,OC(=O)C1CCN(c2cc(C(NC)=O)cc(-c3ccc(Cl)cc3)c2)CC1,-7.3,157.45060658454895
87,c1ccc2c(-c3c(F)cccc3)c(C)n(Cc3ccc[nH]c3=O)c2c1Cl,-7.3,136.08482217788696
54,c1(S(=O)(=O)c2ccc(-c3c(=O)[nH]cc(C)c3)cc2)cc(Cl)c1,-7.3,121.58156275749208
77,c1(C(=O)N2C[C@H](Cc3cc(N)ncc3)C2)cccc(-c2c(C)c(CO)c2)c1,-7.3,177.35548543930054
440,O1C2CCC(C2)Nc2cc(NC3CCN(c4ccc(F)cc4Cl)CC3)ccc12,-7.3,197.19568514823916
613,C1C2CCC(N(Cc3c(F)cccc3)C2=O)N1CC(=O)Nc1ccccc1Cl,-7.3,147.4606785774231
1077,c1(O)cc(Cc2c3c(n(CCO)c2-c2ccc(C(=O)O)cc2)cc3)ccc1,-7.2,173.7828824520111
406,c1cc(Oc2ccc(S(=O)(=O)NC)cc2)c2c(ncc(Cl)c2)c1,-7.2,123.02678346633913
641,FC(F)(F)c1ccc2c(c1)c(-c1ccc[nH]c1=O)cc(=O)[nH]2,-7.2,127.60158681869508
404,O1C2CC(C)(C(CCN(C)O)CC2)OCc2c(F)cccc21,-7.2,129.43412971496582
200,O=S1(=O)CCCNc2ccc3ccc(Cl)c(C)c3c21,-7.2,113.51511788368224
919,c1c(-c2ccc(C(O)=Nc3cc4c(cc3)NC(=O)C4)s2)cccc1,-7.2,156.80489015579224
197,c1ccc2c(c1)S(=O)(=O)Cc1c(C(=O)O)n(Cc3c(F)cccc3)ccc1n2,-7.2,176.258220911026
30,c1c(C)cc(Cn2c(C#CCO)c(-c3ccc[nH]c3=O)c3ccccc32)cc1,-7.2,156.20056700706482
359,B1CCCCCC1Cc1ccc(C(O)=O)s1,-7.2,0.0968990325927734
358,O(CC12CC3CC(C1)CC(C2)CC(C(O)=O)(C3)CC2)C2(F)F,-7.2,96.00163793563844
239,c1cc(Oc2ccc3c(n[nH]c3NC(=O)C3CCNC3=O)c2)ccn1,-7.2,185.23162841796875
352,c1cccc(-c2cc(NS(=O)(=O)c3ccc(C)cc3C)ncc2)c1Cl,-7.2,144.57095575332642
225,CC1C(=O)NCc2c(ccc(-c3c(=O)[nH]ccc3)c2)C1=O,-7.2,111.1452295780182
426,c12c(cc(-c3cc4c[nH]cc4cc3)c(F)c(-c3ccc[nH]c3=O)c2)ccc1Cl,-7.2,224.2050504684448
1002,Fc1cc2c(C3=CC=CCC3)c(-c3ccc[nH]c3=O)sc2cc1N1C[N]1,-7.2,209.70566821098328
291,O=C(NN(c1ccc(C)cc1)C1CCC23CC2CCN3C(CCNC3=O)Cl)C3Cc1,-7.2,128.37548184394836
1006,c1cc(-c2c3sc(-c4ccccc4)nc3n(Cc3ccnc(N)c3)c2C(O)=O)c1,-7.2,195.6105208396912
1078,c12c(NC(=O)Oc3cc(N)c(N)cn3)cc(-c3ccc(F)cc3)sc1c2,-7.2,162.43585538864136
750,c1cc(Oc2cc(C(NC)=O)ncc2)cc2c1cc(C1CC1)c(NC(=O)F)n2,-7.2,186.41914701461792
491,O=C(c1cc(c(-c2cc(-c3ccc(F)cc3)ccc2)s1)O)O,-7.2,179.64471864700317
520,c1cc(Oc2cc(C(O)=O)cc(C(=O)NC)c2)ccc1NC(=O)c1ccccc1,-7.2,193.5504634380341
572,c1cccc(OC)c1C(=O)N(NC(=O)c1ccccc1)CC(=O)Nc1ccccc1,-7.2,157.61186408996582
576,c1c(N)c(Nc2ccc(F)cc2)c(F)c(CN2CCOCC2)c1C(C(NC)=O)N,-7.2,195.9748957157135
696,c1ccc2ccc(NC(C[C@](O)=O)(C)C)c(CCc3ccccc3)c2c1Cl,-7.2,214.9539849758148
115,c1ccc2c(c1)C(c1ccncn1)c1cc(NC3CCC3)nc(C(F)(F)F)c1C2,-7.2,169.03913760185242
867,c1(N)c2c(ccc3ccc(F)cc3c2c2ccc(C(=O)O)cc2)s1,-7.2,154.78047394752502
470,N1C(=O)CCN(C(C)(C)C)C(=O)c2ccc(-c3c(F)cccc3)cc21,-7.2,135.8137230873108
536,c1c(C)c(CC(C(O)=O)C(O)CC(O)CN2CCCNC2=O)c(-c2ccccc2)cc1,-7.2,208.2264473438263
464,c1cc(NC(c2ccccc2)=O)c2c(c1)S(=O)(=O)C=CS2(=O)=O,-7.2,116.1246576309204
679,c1c(S(=O)(=O)N2C[C@H](C)C[CH]c2=O)ccc(-c2ccccc2)c1,-7.2,130.87291860580444
469,c1c(-c2c(Cl)cc(F)cc2)c3ccccc3n1Cc1ccccc1Cl,-7.2,128.34941577911377
685,C12CC(CCN(c3c(F)cccc3)C2=O)N=CC1CC(O)=O,-7.2,132.1523039340973
609,c1cc(-c2c(N)n(C)cc(Cl)c2=O)ccc1NC(=O)c1ccc[nH]1,-7.2,181.25079774856567
682,O=C(O)c1scc(-c2c(-c3cc(N)ncc3)c3cc(F)ccc3n2C)c1,-7.2,171.00333619117737
463,c1cc(CC)c2c(c1)NC(=O)Cn1nc(C(=O)C3C(OC)CC3)c3c(C(F)c2c3N)N1,-7.2,214.862268447876
1059,c1ccc2c(c1)cc(CN(c1ccccc1)c1sccc1C(=O)O)scc2,-7.1,139.6892023086548
828,C1C(CCCC)Oc2ccccc2C(C(F)(F)F)N(Cc2ccccc2)C1,-7.1,159.25305247306824
224,c1(N2CCC3(NC(=O)CCC3)CC2)c(CC(F)(F)F)cc1NC(=O)O,-7.1,147.27367281913757
806,c1cc(F)ccc1CN1CCN(c2ccccn2)CC1Cc1ccccc1,-7.1,121.39858651161194
606,c12ccc(nc1N1CCC3(CC2)N(S2CCOCC2)C(=O)CC3)CC1=O,-7.1,97.84995746612547
1046,CC(C)(O)c1sc(-c2ccc(CNC(=O)Nc3ccccc3)cc2)nc1,-7.1,204.4556131362915
709,c1c2oc(NCc3cc(C)c(F)cc3)c(n(Cc3ccc(F)c(F)c3)c1)n2,-7.1,149.39124727249146
556,C1(c2cc(Cl)c(NC(=O)C3CCC(=O)NC3)cc2)CCOC1,-7.1,143.9129867553711
552,O=C(c1cccc(Oc2ccc(NC(c3ccc(=O)[nH]c3)=O)cc2)c1)O,-7.1,155.81241130828855
256,c1cc(-c2ccccn2)ccc1CN1C(C(=O)O)Cc2c(Cl)cccc21,-7.1,205.0939264297485
1014,Nc1cc2oc(CO)c(-c3ccc(C(F)(F)F)cc3)c2cc1,-7.1,188.68282341957087
701,c1c2c(ccc1-c1cc3cccc(O)c3n(CCO)c1=O)c(Cl)ccc2,-7.1,186.61107397079468
1067,O1C2CCC(C2)NC1c1ccc2oc(-c3ccccc3F)c(CO)c2c1Cl,-7.1,184.74537587165835
888,C1CCCC(c2cc3c(cc2)N(S(=O)(=O)c2ccc(F)cc2)N3)CC1=O,-7.1,178.96193742752075
308,c1cc(F)ccc1CN1C2(CCN(c3c(F)cccc3)C2=O)CC1=O,-7.1,144.21652340888977
509,c1(N2C(=O)N(Cc3ccn(C)c3)CC2)c2c(cccc2)c1Cl,-7.1,104.76130366325378
423,C1C(=O)NC(c2ccc(C3CS(=O)(=O)c4cc(F)ccc4C3)s2)OC1,-7.1,200.93127036094663
410,c1cccc(-c2cc(NC(c3ccc[nH]c3=O)CC3CC3)c(C(=O)O)s2)c1,-7.1,195.83853960037231
895,c1cc(F)c2cc(-c3ccccc3)c(N4CCC5(CC4)CCC5=O)nc2c1Cl,-7.1,167.2851037979126
754,C1C(=O)Nc2c1cccc2Cn1c(=O)[C@]c(=O)c2ccccc21,-7.1,110.05326080322266
856,c1cc(Oc2ccc(C(O)=O)cc2)ccc1Nc1ccccc1CCO,-7.1,163.3172001838684
850,c1cc(F)ccc1CN1C(=O)CN(c2ccc([nH]c2=O)CC2CC2)CC1=O,-7.1,149.8275010585785
490,N1C(=O)C(C(O)=O)N(c2c(F)ncc(-c3ccc(F)cc3)c2)C1=O,-7.1,159.44760870933533
936,O=C1c2ccc(C(O)=O)cc2S(=O)(=O)N1C(=O)c1ccc(F)cc1,-7.1,152.94398880004883
273,c1(N2CCC3(N(CCO)CCO3)CC2)cc(-c2c(=O)n(Cc3ccccc3)c2N)[nH]c1,-7.1,211.4447331428528
344,O=S(=O)(O)Cc1ccc2sccc2c1C(=O)NC(C)(C)C,-7.1,131.39885783195496
842,c1cc(Oc2cc3c(cc2)N(CC(=O)O)CCCC3)cc(C(=O)O)c1,-7.1,148.7732536792755
326,c1cc(CN2CCC3(NC(=O)C4CC4)CCC(O)C3C2)ccc1C(=O)O,-7.1,182.30520606040955
950,c1cc2oc(NC(c3ccc(Br)cc3)(N)C(=O)O)cc2cc1Cl,-7.1,179.92835927009585
967,c1(Cc2c(C(=O)NC)c(F)ccc2)cc(C2=Nc3ccc(F)cc3N2)c1Cl,-7.1,175.15944981575012
319,C1C(CCn2c(C(F)(F)F)nc3c(c2C(=O)NC)cc(-c2ccccc2)c3)CC1,-7.1,146.56896829605105
838,C1(O)CN(c2cc(N)c3c(Cl)c(C(NC)=O)ncc3c2)CC(C)CC1,-7.1,135.95161032676697
760,[nH]1c(CN2CCOS(=O)(=O)CC2)c(-c2ccncc2)c(-c2cccc(F)cc(C)c2)c1,-7.1,224.88565397262573
429,c1(-c2c(Cl)ccc(O)c2)c2nc(-c3ccc[nH]c3=O)ccc1c2Cl,-7.1,154.93108916282654
948,N1c2c(c(C3=CSc4c(Cl)cccc4CC3)c1)ccc(C(O)=O)c2,-7.1,146.40225458145142
899,c1ccc(-c2ccc3c(c2)CS(=O)(=O)N3c2ccc(O)s2)cc1Br,-7.1,125.91931176185608
1088,c12c(ccc1)c(C(=O)NC1c3ccccc3CC1O)C(=O)N2c1ccccc1,-7.1,145.71301341056824
59,c1c(C)c(F)cc2c(-c3ccccc3)c(C(=O)O)n(Cc3ccc(F)cc3)c12,-7.1,174.58442568778992
57,c1cc(F)cc2c(-c3c(O)cc(F)cc3)n(Cc3ccc[nH]c3=O)cc12,-7.1,147.28988122940063
778,Fc1cc(CC(F)(F)F)ccc1Cn1nc(-c2c(C)c(O)ccc2F)ccc1=O,-7.0,192.32819819450376
627,O=C(CC1(O)CCC(C)CC1)N1C(=O)CN(CC2=CCCCC2)CC1=O,-7.0,153.31948328018188
581,c1c(Oc2ccc(C(O)=O)cc2)cc(Cl)cc1-c1ccccc1,-7.0,133.04632687568665
755,N1ccc(Cl)c2c(c1)NC(=O)Cn(Cc1ccc(F)cc1)S2=O,-7.0,127.94580054283142
583,CC1(c2cc(C(=O)NC)c3c(oc2-c2ccccc2)CS(=O)(=O)C3=O)c(F)Cc1,-7.0,173.62630820274353
991,CC(CC)CN1c2ccccc2Cc2c(-c3ccncc3)cc(=O)[nH]c21,-7.0,156.67358255386353
31,c1(C)cc(-c2sc3c(c2C(CO)=O)ccc(C(=O)O)c3)c1C(C(=O)O)O,-7.0,218.5527069568634
879,c1cc(-c2nccc3c(O)cc(F)cc23)c(C(=O)O)c(NCCC(F)(F)F)c1,-7.0,222.6354653835297
579,c1cc(Cn2c(=O)c(-c3c(F)cccc3)ccc(C(NC)=O)c2=O)ccn1,-7.0,165.6714265346527
630,c1cc(Cl)cc2c(-c3c(F)cccc3)c(C(=O)Nc3ccccc3)n(C)c12,-7.0,150.84895968437195
694,c1c(C)cccc1S(N(CC(C)C)C(=O)c2ccc[nH]c2=O)c1ccccc1,-7.0,179.42046284675598
1029,C1CN(Cc2cc3c(c(-c4ccccc4)c2)CS(=O)(=O)OC3)CC(C)N1,-7.0,130.1303539276123
980,CS(=O)(=O)N1CCC2OC(c3ccccc3)CC(C)(O)C2C1C,-7.0,154.14682364463806
503,CC(C)CCN(CCO)C(=O)C(N)c1ccc(-c2cc(CNC(O)=O)ccc2)cc1,-7.0,218.4255712032318
738,c1cc2occ(F)c2cc1Cn1c3cc(C)c(F)c(Cl)c3sc1=O,-7.0,139.65776467323303
255,S1OC(Nc2cc(CC(=O)O)cc(CC)c2-c2ccc(F)cc2)OS(F)c(=O)O1,-7.0,221.3284718990326
113,CNC(=O)c1ccc2c(CC)c(cc(C(=O)NCCO)n2C)s1,-7.0,182.3432412147522
680,C1CCc2c(ccc(F)c2CNC(=O)Nc2cc3scc(N)c3cc2)C1,-7.0,194.34808683395383
311,O1C(CC)CCC1Cc1c(=O)nc(N)[nH]c1NC(Cc1ccccc1)=O,-7.0,168.11310529708862
282,c1cc(Oc2cc(C(NC)=O)ncc2)ccc1NC(=O)Nc1c(F)cccc1,-7.0,150.39386296272278
790,c1(Cc2c(-c3c(=O)[nH]ccc3)c(CO)ncc2)oc1-c1ccncc1,-7.0,197.64660620689392
125,c1cc(F)ccc1-c1cc(NC(=O)CCOC)ccC(C(Nc3nscc3)N)c1,-7.0,172.1784496307373
523,c1c(OCC(F)(F)F)cc2oc(-c3c(F)cccc3)cc(NC(=O)CO)c12,-7.0,208.97385334968567
707,N1(c2c(C)cc(NC(=O)C3CCCCC3)cc2)S(=O)(=O)c2sccc21,-7.0,180.01016211509705
124,c1c(C)cc(CNC(=O)OC23CC4CC(CC(C4)C2)C3)cc1C(O)=O,-7.0,134.60281324386597
142,c1c(-c2cc(N3CCC4(CC3)CSCC4)c(C(O)=O)cc2)cccc1,-7.0,148.49598741531372
865,c1c(OC)c(CNC(c2cccc(NC)c2)Cc2cc3c(cc2C4CCC4)o3)c(F)Ccc1,-7.0,188.03955364227292
973,FC(F)(F)c1cc(Cl)c2c(c1)c(-c1c(=O)[nH]cc(Cl)c1)sc2,-7.0,138.4895055294037
499,C(c1cc(F)cc(C(O)=O)c1)c1ccc(N)c(F)c1C1CC1,-7.0,164.8050501346588
661,c1c(N)ccc2c(Cl)c(C3=CC(=O)N(CCO)C3)c(Cl)cc12,-6.9,133.28813338279724
796,c1cOccc2c1CN(C(=O)Cc1ccc(C(CC(C)C)=O)cc1)C(=O)C2=C,-6.9,163.68920803070068
162,C1C2(CCN1c1ccnc(N(Cc3ccc(F)cc3)C)n1)CCC(=O)O2,-6.9,138.30932354927063
39,c1c(-c2c(F)cccc2)cccc1CN1C(C(=O)O)C[C@@H]1,-6.9,130.20843935012817
776,FC(F)(F)c1cnc(NS(c2ccc(C)c(N)c2)=O)cc1C(F)(F)F,-6.9,190.21508693695068
390,c1ccc(CC(NC(=O)OC23CC4CC(C2)CC(C)(C4)C3)=O)cc1Br,-6.9,126.34172868728638
818,N1CCCC2(CC1)CC(C(F)(F)F)=Cc1c(C4CC4)cc(Cl)cc12,-6.9,147.7027657032013
377,c1(F)ccc1CN1CCNC(=O)CC1C(=O)NC(=O)Nc2ccccc2CC(F)F,-6.9,207.1816194057465
133,c1cccc(-C2CC3(CCN(C(=O)NCCO)CC3)CC2)c1Br,-6.9,149.81668281555176
